round_number,to_self,to_other
1,85,85
1,85,76
1,85,68
1,85,59
1,85,50
1,85,41
1,85,33
1,85,24
1,85,15
2,85,15
2,87,19
2,89,24
2,91,28
2,93,33
2,94,37
2,96,41
2,98,46
2,100,50
3,50,100
3,54,98
3,59,96
3,63,94
3,68,93
3,72,91
3,76,89
3,81,87
3,85,85
4,50,100
4,54,89
4,59,79
4,63,68
4,68,58
4,72,47
4,76,36
4,81,26
4,85,15
5,100,50
5,94,56
5,88,63
5,81,69
5,75,75
5,69,81
5,63,88
5,56,94
5,50,100
6,100,50
6,98,54
6,96,59
6,94,63
6,93,68
6,91,72
6,89,76
6,87,81
6,85,85
7,100,50
7,96,56
7,93,63
7,89,69
7,85,75
7,81,81
7,78,88
7,74,94
7,70,100
8,90,100
8,91,99
8,93,98
8,94,96
8,95,95
8,96,94
8,98,93
8,99,91
8,100,90
9,100,70
9,94,74
9,88,78
9,81,81
9,75,85
9,69,89
9,63,93
9,56,96
9,50,100
10,100,70
10,99,74
10,98,78
10,96,81
10,95,85
10,94,89
10,93,93
10,91,96
10,90,100
11,70,100
11,74,96
11,78,93
11,81,89
11,85,85
11,89,81
11,93,78
11,96,74
11,100,70
12,50,100
12,56,99
12,63,98
12,69,96
12,75,95
12,81,94
12,88,93
12,94,91
12,100,90
13,50,100
13,56,94
13,63,88
13,69,81
13,75,75
13,81,69
13,88,63
13,94,56
13,100,50
14,100,90
14,96,91
14,93,93
14,89,94
14,85,95
14,81,96
14,78,98
14,74,99
14,70,100
15,90,100
15,91,94
15,93,88
15,94,81
15,95,75
15,96,69
15,98,63
15,99,56
15,100,50
